INDEX,TAVG
0,2.290267
1,7.263122
2,11.180138
3,10.9880905
4,19.154285
5,-0.19543435
6,20.46059
7,6.7084746
8,8.137979
9,22.225088
10,7.3871145
11,9.485187
12,9.178143
13,24.718147
14,19.721523
15,-1.4657449
16,18.130508
17,26.226147
18,0.12915057
19,4.055999
20,25.00712
21,-5.0659814
22,1.8682474
23,-4.765832
24,16.17719
25,-7.9675303
26,1.7258549
27,25.490541
28,9.653734
29,3.1162653
30,24.240446
31,23.315363
32,21.11055
33,22.83349
34,1.1431184
35,19.358643
36,23.359076
37,23.338806
38,-10.030143
39,-9.873897
40,19.543112
41,-7.6517315
42,-8.509255
43,21.238455
44,15.664979
45,26.613577
46,18.300701
47,-13.61256
48,-16.504686
49,-4.6981435
50,-0.021054227
51,24.992378
52,23.82248
53,-1.5372818
54,4.863143
55,17.038176
56,1.0185993
57,-9.489057
58,21.23212
59,-13.533622
60,7.767933
61,12.5239525
62,1.0981662
63,22.139538
64,17.917439
65,-0.35085028
66,20.143501
67,2.2557545
68,8.897594
69,12.569227
70,13.895551
71,-4.2344036
72,14.727301
73,19.765278
74,10.01285
75,20.567987
76,24.603344
77,7.0355315
78,6.7641435
79,-4.3252034
80,6.2165914
81,7.565855
82,17.755388
83,10.018077
84,26.889801
85,2.517229
86,9.008354
87,2.599919
88,11.411415
89,-8.7031
90,4.860304
91,-6.1801586
92,23.479692
93,11.800674
94,15.153795
95,6.0789046
96,-15.441797
97,21.906492
98,25.342344
99,8.273646
100,-0.19435155
101,-5.746384
102,20.458931
103,-1.784007
104,-4.270223
105,11.936941
106,0.31479985
107,-4.0023103
108,21.400913
109,19.803701
110,-4.0419493
111,16.955032
112,8.72652
113,25.564268
114,23.110806
115,4.5888553
116,19.84524
117,2.8061864
118,13.6064205
119,-16.771568
120,-2.107082
121,13.008371
122,-10.322723
123,25.820436
124,26.059982
125,2.6656144
126,-16.317272
127,-0.6715419
128,-6.0732675
129,27.637829
130,11.862856
131,-2.1224165
132,10.78906
133,9.11156
134,-3.7247984
135,20.624884
136,1.6155207
137,18.506878
138,3.4622386
139,22.214775
140,13.254604
141,18.464249
142,1.7193283
143,24.189835
144,-3.3797119
145,16.627668
146,19.473068
147,25.467768
148,24.096142
149,10.5132065
150,15.382512
151,25.510767
152,25.785368
153,4.289481
154,18.662527
155,-17.61861
156,8.663585
157,27.201302
158,22.298199
159,0.04468665
160,26.223095
161,-6.6342764
162,17.219952
163,5.777849
164,24.515306
165,-0.7894136
166,8.949803
167,6.107988
168,2.500532
169,-10.041293
170,-12.59805
171,18.370226
172,-0.7935044
173,1.863034
174,18.498669
175,-16.603535
176,-6.940139
177,-8.292322
178,2.780658
179,-4.5447764
180,8.627392
181,5.0012555
182,-4.0071754
183,1.3653693
184,3.776874
185,11.002873
186,20.11476
187,-2.565959
188,13.718215
189,-3.1365805
190,26.674417
191,4.867828
192,-2.9411201
193,19.560701
194,13.200771
195,-6.3909454
196,2.4085016
197,23.586887
198,18.82209
199,18.681833
200,24.306572
201,-11.970744
202,9.280684
