INDEX,TAVG
0,9.377583
1,5.230904
2,3.2909284
3,8.312759
4,12.233785
5,-1.921907
6,7.03769
7,-1.1570115
8,0.12774037
9,7.2217193
10,7.1658363
11,6.557741
12,4.2553563
13,9.0646515
14,7.003888
15,3.90339
16,5.434331
17,7.331762
18,3.9567962
19,6.4933743
20,9.738467
21,-2.2438283
22,3.1092043
23,-0.14834167
24,7.7734213
25,1.9399047
26,7.696604
27,7.302404
28,1.8317089
29,3.5874643
30,10.047724
31,7.0920424
32,8.306473
33,8.232205
34,3.8189387
35,7.3183904
36,3.1236372
37,3.4975324
38,-5.639379
39,1.1328197
40,7.2262964
41,-1.6075463
42,-0.16513874
43,6.04612
44,5.770916
45,7.2889366
46,4.6962194
47,-0.36367753
48,-2.0708623
49,4.043438
50,4.48222
51,7.336894
52,7.1086283
53,1.980659
54,4.2068934
55,2.8703284
56,1.6972575
57,-0.8347955
58,7.126274
59,-2.315865
60,7.5914516
61,5.3052225
62,3.6102805
63,8.475594
64,6.262149
65,-1.3822923
66,6.5668817
67,5.8743644
68,8.084775
69,7.510589
70,5.315855
71,3.5957742
72,7.6318855
73,10.084655
74,3.617628
75,8.058323
76,9.054159
77,7.493208
78,4.983313
79,0.1617484
80,0.026121594
81,-0.30819562
82,3.5828018
83,3.0385756
84,9.060352
85,8.105375
86,5.0933123
87,7.011915
88,8.741163
89,-0.5626464
90,1.053968
91,1.4500141
92,9.207202
93,2.798265
94,8.298039
95,7.030241
96,-1.2780881
97,7.8271656
98,6.080535
99,3.6621637
100,2.5695844
101,-1.7170196
102,8.00341
103,3.161274
104,2.6331172
105,1.3835716
106,3.197205
107,1.4095511
108,6.472322
109,2.421012
110,-0.237947
111,6.212624
112,1.1329422
113,5.4706097
114,7.8496885
115,6.7840533
116,7.6431975
117,5.0532265
118,6.0163617
119,-2.4133382
120,3.442943
121,10.201796
122,-0.5405555
123,8.433731
124,5.359161
125,3.2066965
126,-0.6487851
127,3.5735736
128,0.8244462
129,7.034183
130,4.117725
131,3.318026
132,6.7058897
133,4.692733
134,2.6077409
135,6.947945
136,0.68319845
137,7.788186
138,2.9079185
139,8.661977
140,5.76239
141,6.350814
142,6.886352
143,9.699964
144,1.5987091
145,7.918125
146,6.8741937
147,5.9307823
148,4.723787
149,1.7126393
150,3.0248156
151,7.1520762
152,5.618338
153,4.2332864
154,5.174414
155,-0.80017614
156,4.8557553
157,8.790523
158,6.796467
159,-2.6643128
160,7.213672
161,-2.6918674
162,6.4879227
163,1.9215307
164,7.777221
165,-2.013309
166,1.6665978
167,5.5038986
168,3.6497736
169,-2.0360417
170,-2.06072
171,5.3656454
172,-0.6736398
173,4.739512
174,5.704503
175,-2.2075362
176,-0.51817846
177,-0.3240247
178,5.859222
179,0.8583126
180,0.52213526
181,1.2626066
182,3.18156
183,0.47204158
184,0.543612
185,4.0081096
186,6.870634
187,2.0032783
188,2.3066869
189,2.3508024
190,6.371027
191,3.9818215
192,2.6743011
193,3.3780074
194,4.817669
195,-2.786635
196,-0.5784993
197,6.3115425
198,3.6211238
199,7.9793315
200,8.899466
201,4.0874844
202,7.030837
