INDEX,TAVG
0,6.339376
1,11.857404
2,17.614565
3,21.276289
4,20.585619
5,0.074222066
6,27.704641
7,12.347181
8,14.452244
9,29.46403
10,14.359281
11,15.240156
12,17.173794
13,32.736237
14,25.3503
15,0.26361987
16,24.61424
17,34.263584
18,3.4078302
19,11.501407
20,33.586296
21,-3.4483542
22,7.724695
23,-0.8507428
24,25.433659
25,-1.418119
26,10.438082
27,35.207737
28,14.693304
29,2.469439
30,33.831352
31,27.569475
32,27.241423
33,28.464481
34,6.1391106
35,27.39566
36,32.47406
37,35.156746
38,-4.0079703
39,1.0901766
40,28.60644
41,-7.382832
42,-5.213012
43,29.211664
44,19.01645
45,34.784805
46,23.066328
47,-6.506147
48,-3.3469548
49,7.574812
50,6.8364177
51,30.164965
52,30.72417
53,6.4804945
54,7.355802
55,25.153694
56,6.409477
57,-4.9175353
58,31.665638
59,-9.714993
60,19.071203
61,24.956347
62,4.1795716
63,29.064327
64,29.292965
65,-1.0018773
66,31.010782
67,7.4343867
68,19.537436
69,19.408417
70,25.479208
71,6.5277815
72,19.727726
73,30.333532
74,16.026329
75,30.771576
76,33.32029
77,17.224869
78,14.957891
79,3.3823543
80,12.634795
81,14.166148
82,23.708908
83,10.706186
84,32.595295
85,9.975134
86,17.728327
87,9.391964
88,23.124676
89,-2.4568439
90,12.513683
91,-5.9589972
92,36.760574
93,17.166883
94,28.831648
95,17.26369
96,-7.779058
97,31.267235
98,30.981743
99,20.983131
100,4.6752214
101,-2.2577395
102,29.329165
103,6.973284
104,3.7733727
105,22.515142
106,9.705659
107,-0.7034316
108,29.328194
109,27.693401
110,-4.9759507
111,25.969894
112,16.1934
113,31.629122
114,30.235102
115,12.91324
116,27.480993
117,10.54264
118,25.911797
119,-6.685571
120,4.845749
121,23.661507
122,-8.812847
123,30.47259
124,29.323483
125,7.396852
126,-6.9328103
127,3.7812042
128,-5.826405
129,35.086266
130,13.171915
131,5.185251
132,18.342081
133,13.488108
134,-7.2994914
135,28.574528
136,1.2520351
137,25.871904
138,7.918503
139,31.433077
140,13.682185
141,23.648092
142,9.189187
143,30.328007
144,-5.5125966
145,22.671026
146,24.07772
147,32.142742
148,28.854883
149,12.103074
150,21.366936
151,30.210386
152,28.013084
153,9.986
154,26.264326
155,-9.583868
156,11.457174
157,33.10969
158,27.368416
159,-3.2898412
160,35.918022
161,-3.23873
162,29.712662
163,13.382678
164,35.13717
165,0.20637177
166,17.48027
167,16.651728
168,8.489925
169,-5.3631673
170,-3.5897336
171,31.799719
172,3.3882852
173,13.1654825
174,23.387873
175,-9.3669815
176,-2.9545836
177,-1.2213206
178,7.8074036
179,1.1010709
180,16.39874
181,12.467315
182,2.2758389
183,3.470388
184,8.436226
185,21.02842
186,26.988604
187,2.686329
188,18.783861
189,0.6596904
190,30.704168
191,13.747836
192,1.1365185
193,25.851934
194,20.229603
195,-2.8363404
196,5.661343
197,29.07513
198,20.247272
199,23.810415
200,31.405823
201,-0.76039934
202,10.01671
